crash_id,person_age,person_ethnicity,person_gender,has_motocycle_endorsment,person_injury_severity,vehicle_body_style,vehicle_color,vehicle_make,vehicle_model,vehicle_model_year
16356273,35,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,yamaha,yzfr1,2007
16356415,30,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,ple - purple,honda,cbr600,2001
16358496,58,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,harley-davidson,flstc,1996
16359252,19,98 - other,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx600,2006
16367744,41,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fld,2007
16358922,32,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,suzuki,gsx600,2006
16362967,65,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,red - red,honda,ctx700,2014
16363735,37,w - white,1 - male,1,k - fatal injury,mc - motorcycle,blk - black,harley-davidson,fld,2004
16354588,34,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxd,2011
16354864,27,98 - other,1 - male,1,b - suspected minor injury,mc - motorcycle,grn - green,honda,cbr600,2002
16356963,47,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fxstd,2007
16360078,28,98 - other,1 - male,0,a - suspected serious injury,mc - motorcycle,mar - maroon,suzuki,gsx600,2003
16360442,55,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,harley-davidson,fld,1997
16361038,19,98 - other,1 - male,1,a - suspected serious injury,mc - motorcycle,sil - silver,yamaha,fz1,2006
16363821,59,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,blk - black,honda,gl1100,2014
16357085,65,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,yel - yellow,yamaha,yzfr1,1996
16358146,68,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fld,2011
16367584,21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,c90,2006
16368513,59,w - white,2 - female,0,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,xl1200,2018
16355673,21,b - black,1 - male,1,n - not injured,mc - motorcycle,blu - blue,suzuki,gsx600,2008
16357055,43,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,c50,2006
16358099,20,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx1100,2001
16358717,50,w - white,2 - female,1,a - suspected serious injury,mc - motorcycle,whi - white,harley-davidson,fld,2006
16361031,48,w - white,1 - male,1,a - suspected serious injury,mc - motorcycle,blk - black,harley-davidson,fxstb,2009
16362157,52,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,honda,vtx1300,2007
16359681,22,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,blu - blue,yamaha,fz07,2017
16359859,21,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,sil - silver,honda,grom,2018
16360181,58,w - white,1 - male,0,a - suspected serious injury,mc - motorcycle,blu - blue,harley-davidson,fls,2015
16360719,62,w - white,1 - male,1,b - suspected minor injury,pm - police motorcycle,blk - black,kawasaki,vulcan 2000,2011
16362703,42,h - hispanic,1 - male,0,a - suspected serious injury,mc - motorcycle,sil - silver,kawasaki,vulcan 2000,2006
16363768,30,w - white,1 - male,0,n - not injured,mc - motorcycle,whi - white,yamaha,xvz12,1984
16367894,57,h - hispanic,1 - male,1,b - suspected minor injury,mc - motorcycle,mar - maroon,harley-davidson,flstn,2007
16361815,40,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,whi - white,suzuki,gsx,2003
16362265,49,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,ong - orange,harley-davidson,flhtcu,2014
16365912,24,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blu - blue,kawasaki,ex250,1996
16420841,34,b - black,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,bashan,bashan scooter,201
16365741,29,h - hispanic,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx-r1000,2004
16368180,28,b - black,1 - male,0,n - not injured,mc - motorcycle,blk - black,suzuki,gsx,2012
16369644,28,w - white,1 - male,0,b - suspected minor injury,mc - motorcycle,blk - black,suzuki,gsx,2007
16369804,36,w - white,1 - male,1,b - suspected minor injury,mc - motorcycle,gry - gray,yamaha,bw200,2014
